timestamp,part_number,line_number,planned_time,runtime,ideal_cycle_time,total_pieces,good_pieces
2024-01-01 00:00:00,P002,L4,55.447308219322736,50.43451423716336,0.5802955008531663,97,91
2024-01-01 01:00:00,P003,L5,54.86608379547604,50.306817582790146,0.5933791148232652,116,106
2024-01-01 02:00:00,P004,L4,58.942809162897724,55.715689578452576,0.5428039664473099,116,109
2024-01-01 03:00:00,P006,L2,52.62025852690184,51.634477493827085,0.5651868276452332,103,95
2024-01-01 04:00:00,P002,L1,52.29644973334363,51.712651828602226,0.45529936554679434,100,96
2024-01-01 05:00:00,P009,L4,57.0462842647928,53.26988482654816,0.5902291584068345,94,87
2024-01-01 06:00:00,P006,L2,58.81818528593543,56.005882853000415,0.5989685045969197,115,109
2024-01-01 07:00:00,P008,L3,50.85006704253339,50.634135206066084,0.5100700647108719,97,90
2024-01-01 08:00:00,P003,L4,51.045021057587576,49.038989432100614,0.4615680140720709,108,105
2024-01-01 09:00:00,P009,L5,54.608975869273024,49.78611790735582,0.49295887691799567,90,86
2024-01-01 10:00:00,P007,L1,57.83252746774372,55.68860132876274,0.47270950270938805,104,99
2024-01-01 11:00:00,P006,L1,52.46950277866872,48.55716563671591,0.43777009797710736,105,100
2024-01-01 12:00:00,P004,L3,55.86844650210005,54.11980295653458,0.5704633708638107,91,88
2024-01-01 13:00:00,P007,L5,57.80957621215774,53.09266738727905,0.46938071327210107,101,98
2024-01-01 14:00:00,P003,L5,59.360906905982496,55.14890889892596,0.5700613213567717,94,86
2024-01-01 15:00:00,P010,L1,56.54801440491667,51.873252572303265,0.4327113212305881,114,107
2024-01-01 16:00:00,P005,L3,54.273308741832544,50.94070248350032,0.5527758295030613,99,96
2024-01-01 17:00:00,P001,L3,56.79791331657849,51.36453382462545,0.5120191975837856,114,106
2024-01-01 18:00:00,P010,L2,58.17838070416124,57.31230235138885,0.5162742458334441,112,109
2024-01-01 19:00:00,P010,L1,53.18804787454727,50.866168134223116,0.583905797380109,101,93
2024-01-01 20:00:00,P006,L1,52.831844552311935,52.53363032885144,0.4816316780401429,117,109
2024-01-01 21:00:00,P008,L5,50.32755910996142,50.28782246876831,0.5027068925875113,113,104
2024-01-01 22:00:00,P003,L4,54.37440444158832,53.05483535052968,0.41963290822043403,96,89
2024-01-01 23:00:00,P002,L2,51.82286880615507,48.86393011113555,0.48042446571629893,97,91
2024-01-02 00:00:00,P002,L1,56.92620117500327,51.431199680804454,0.539606702414174,104,96
2024-01-02 01:00:00,P008,L4,59.1470772043863,54.13855139884426,0.4701799440680962,101,97
2024-01-02 02:00:00,P003,L3,52.761744650079166,49.86694026854926,0.535530989529078,103,96
2024-01-02 03:00:00,P003,L2,50.580163057922206,46.61288581014152,0.589340034326082,117,111
2024-01-02 04:00:00,P007,L2,57.58686819455287,52.02548012725778,0.46536630383832295,97,93
2024-01-02 05:00:00,P002,L5,53.311653420156645,49.814479918585384,0.47573923523214023,105,100
2024-01-02 06:00:00,P001,L5,59.09758087471504,58.842001600446146,0.4247989216368693,101,97
2024-01-02 07:00:00,P005,L2,54.37622629680173,53.863708340545514,0.5297133460468784,98,91
2024-01-02 08:00:00,P004,L5,52.68881018758171,49.6372731018349,0.46710162401948013,105,97
2024-01-02 09:00:00,P005,L5,55.88467116094491,51.198390710724574,0.4381586659673916,102,97
2024-01-02 10:00:00,P008,L2,57.90676663120496,52.65819123081469,0.4421946859712454,114,107
2024-01-02 11:00:00,P003,L3,56.852119622495685,55.95822079053426,0.562750428095153,104,97
2024-01-02 12:00:00,P006,L3,58.99833165880552,57.09496460991657,0.5878432235406968,117,112
2024-01-02 13:00:00,P006,L3,55.07394620166273,50.16083192996265,0.48073072841554765,96,93
2024-01-02 14:00:00,P010,L4,56.42762856902011,53.838188675330805,0.5713447205387362,95,87
2024-01-02 15:00:00,P010,L5,53.43883118703649,48.344406123264754,0.44339927521270406,108,105
2024-01-02 16:00:00,P006,L4,54.336042429195466,51.822541030979984,0.42687599695878053,99,96
2024-01-02 17:00:00,P005,L1,54.33200236722823,53.92810665034429,0.5237550273536757,107,104
2024-01-02 18:00:00,P008,L2,55.07406662013943,53.37170933782475,0.5561158718447878,118,110
2024-01-02 19:00:00,P001,L4,54.99617323708294,50.567648648807676,0.47883776872594386,99,91
